ID,name,originPlanet,spaceSuitColor,stardustCollection,wormholeNavigationSkill,department_ID,position_ID,createdAt,createdBy,modifiedAt,modifiedBy
23319241-849d-466e-83d7-10f76b50ed00,Palpatine,Planet X,yellow,69,5,3726438a-56b4-4a3b-87dd-1efc227a61c6,1684395c-9d1e-436f-98a3-98153df498be,2012-10-22T00:00:00.000Z,createdBy.dvt8p@example.net,2023-05-25T00:00:00.000Z,modifiedBy.dvt8p@example.com
23319242-4e49-4201-af02-f86843c15799,Leia,Planet X,green,36,4,3726438a-56b4-4a3b-87dd-1efc227a61c6,21812630-17f3-4fc4-9d9b-675edff01745,2023-08-16T00:00:00.000Z,createdBy.dvt8q@example.com,2015-09-05T00:00:00.000Z,modifiedBy.dvt8q@example.com
23319243-91ae-454e-a2d9-e4a8a70ebf87,Padme,Planet X,red,66,4,13158744-adb3-43e4-a03e-0f38a1716cc2,21812633-3879-4b0a-8a21-55ef8063891b,2022-10-06T00:00:00.000Z,createdBy.dvt8r@example.net,2003-05-08T00:00:00.000Z,modifiedBy.dvt8r@example.com
23319244-df20-42c0-b768-76a4340791b0,Wicket,Planet X,brown,95,3,3726438a-56b4-4a3b-87dd-1efc227a61c6,21812632-6df8-42d7-8065-692d8b570777,2007-08-28T00:00:00.000Z,createdBy.dvt8s@example.com,2020-09-22T00:00:00.000Z,modifiedBy.dvt8s@example.net
23319245-5ef3-4522-ad90-9805fd4cdb57,Jango,Planet X,blue,38,2,13158742-129e-4bb3-b09e-302c6a2956e9,21812631-c0d5-4e26-ad8f-14f522aaa648,2011-03-06T00:00:00.000Z,createdBy.dvt8t@example.net,2002-03-20T00:00:00.000Z,modifiedBy.dvt8t@example.net
23319246-911d-4ee9-8a31-e176daef5bdb,Anakin,Planet Y,white,0,1,13158742-129e-4bb3-b09e-302c6a2956e9,21812634-70f3-41cc-9dea-0b093d4f39a8,2020-06-23T00:00:00.000Z,createdBy.dvt8u@example.net,2016-10-30T00:00:00.000Z,modifiedBy.dvt8u@example.org
23319247-a202-419f-8f22-21d4f8f90640,Grievous,Planet Y,purple,89,1,13158742-129e-4bb3-b09e-302c6a2956e9,21812628-0799-4755-a5b0-c38c34822eb8,2021-03-29T00:00:00.000Z,createdBy.dvt8v@example.org,2010-02-26T00:00:00.000Z,modifiedBy.dvt8v@example.com
23319248-07a0-4048-ad72-1240d0e45fa7,Luke,Planet Y,pink,78,3,3726438a-56b4-4a3b-87dd-1efc227a61c6,21812630-17f3-4fc4-9d9b-675edff01745,2004-08-18T00:00:00.000Z,createdBy.dvt8w@example.net,2019-07-22T00:00:00.000Z,modifiedBy.dvt8w@example.net
23319249-8c51-458b-9d93-fa413581b050,Vader,Planet Y,black,63,3,3726438a-56b4-4a3b-87dd-1efc227a61c6,1684395c-9d1e-436f-98a3-98153df498be,2011-12-06T00:00:00.000Z,createdBy.dvt8x@example.net,2010-07-17T00:00:00.000Z,modifiedBy.dvt8x@example.org
23319250-1eec-4c68-a3d3-51026b75fd5f,Yoda,Planet Y,orange,91,5,13158743-7ffd-4058-b002-0bb8aaf404ed,21812629-af1d-491c-919c-eac07cbd45fb,2016-06-16T00:00:00.000Z,createdBy.dvt8y@example.com,2015-04-04T00:00:00.000Z,modifiedBy.dvt8y@example.org
